qa_id,source_file_name,local_repo_path,source_owner,source_type,report_period,parameter_name,source_page_or_sheet,source_table_or_section,value_to_check,unit_to_check,min_value_to_check,average_value_to_check,max_value_to_check,sample_count_to_check,reviewer_initials,review_date,review_status,reviewer_notes
bris-mar-2026-qa-001,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Seqwater,PDF,2026-03,Fluoride,,,,,,,,,,imported,Pending manual row-by-row verification against uploaded Brisbane March 2026 source.
bris-mar-2026-qa-002,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Seqwater,PDF,2026-03,Free Chlorine,,,,,,,,,,imported,Pending manual row-by-row verification against uploaded Brisbane March 2026 source.
bris-mar-2026-qa-003,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Seqwater,PDF,2026-03,Monochloramine,,,,,,,,,,imported,Pending manual row-by-row verification against uploaded Brisbane March 2026 source.
bris-mar-2026-qa-004,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Seqwater,PDF,2026-03,Total Chlorine,,,,,,,,,,imported,Pending manual row-by-row verification against uploaded Brisbane March 2026 source.
bris-mar-2026-qa-005,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Seqwater,PDF,2026-03,Hardness,,,,,,,,,,imported,Pending manual row-by-row verification against uploaded Brisbane March 2026 source.
bris-mar-2026-qa-006,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Seqwater,PDF,2026-03,pH,,,,,,,,,,imported,Pending manual row-by-row verification against uploaded Brisbane March 2026 source.
bris-mar-2026-qa-007,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Seqwater,PDF,2026-03,Total Dissolved Solids,,,,,,,,,,imported,Pending manual row-by-row verification against uploaded Brisbane March 2026 source.
bris-mar-2026-qa-008,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Seqwater,PDF,2026-03,Turbidity,,,,,,,,,,imported,Pending manual row-by-row verification against uploaded Brisbane March 2026 source.
bris-mar-2026-qa-009,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Seqwater,PDF,2026-03,Alkalinity Total,,,,,,,,,,imported,Pending manual row-by-row verification against uploaded Brisbane March 2026 source.
bris-mar-2026-qa-010,seqwater_taste_odour_results_day_20260508.xlsx,data/source-files/seqwater/seqwater_taste_odour_results_day_20260508.xlsx,Seqwater,XLSX,2026-03,Geosmin,,,,,,,,,,imported,Pending manual row-by-row verification against uploaded Seqwater taste and odour workbook.
bris-mar-2026-qa-011,seqwater_taste_odour_results_day_20260508.xlsx,data/source-files/seqwater/seqwater_taste_odour_results_day_20260508.xlsx,Seqwater,XLSX,2026-03,2-Methylisoborneol / MIB,,,,,,,,,,imported,Pending manual row-by-row verification against uploaded Seqwater taste and odour workbook.
